name,addr,type,source,namespace,is_primary
DAT_0800a924,0x0800A924,Label,DEFAULT,Global,1
DAT_0800b3fc,0x0800B3FC,Label,DEFAULT,Global,1
pifMain,0x1FC00000,Function,ANALYSIS,Global,1
LAB_1fc00018,0x1FC00018,Label,DEFAULT,Global,1
LAB_1fc00038,0x1FC00038,Label,DEFAULT,Global,1
LAB_1fc00084,0x1FC00084,Label,DEFAULT,Global,1
LAB_1fc000ac,0x1FC000AC,Label,DEFAULT,Global,1
FUN_1fc00210,0x1FC00210,Function,DEFAULT,Global,1
LAB_1fc00220,0x1FC00220,Label,DEFAULT,Global,1
LAB_1fc00244,0x1FC00244,Label,DEFAULT,Global,1
FUN_1fc00258,0x1FC00258,Function,DEFAULT,Global,1
LAB_1fc00294,0x1FC00294,Label,DEFAULT,Global,1
LAB_1fc002bc,0x1FC002BC,Label,DEFAULT,Global,1
LAB_1fc00350,0x1FC00350,Label,DEFAULT,Global,1
LAB_1fc0035c,0x1FC0035C,Label,DEFAULT,Global,1
LAB_1fc003c4,0x1FC003C4,Label,DEFAULT,Global,1
LAB_1fc003d0,0x1FC003D0,Label,DEFAULT,Global,1
LAB_1fc004f4,0x1FC004F4,Label,DEFAULT,Global,1
LAB_1fc00518,0x1FC00518,Label,DEFAULT,Global,1
LAB_1fc00554,0x1FC00554,Label,DEFAULT,Global,1
LAB_1fc00568,0x1FC00568,Label,DEFAULT,Global,1
LAB_1fc00590,0x1FC00590,Label,DEFAULT,Global,1
LAB_1fc005a0,0x1FC005A0,Label,DEFAULT,Global,1
LAB_1fc005bc,0x1FC005BC,Label,DEFAULT,Global,1
LAB_1fc005cc,0x1FC005CC,Label,DEFAULT,Global,1
FUN_1fc00624,0x1FC00624,Function,DEFAULT,Global,1
FUN_1fc00640,0x1FC00640,Function,DEFAULT,Global,1
LAB_1fc00660,0x1FC00660,Label,DEFAULT,Global,1
LAB_1fc0068c,0x1FC0068C,Label,DEFAULT,Global,1
LAB_1fc006b0,0x1FC006B0,Label,DEFAULT,Global,1
LAB_1fc006c8,0x1FC006C8,Label,DEFAULT,Global,1
LAB_1fc006cc,0x1FC006CC,Label,DEFAULT,Global,1
LAB_1fc006f0,0x1FC006F0,Label,DEFAULT,Global,1
DAT_1fc007c0,0x1FC007C0,Label,DEFAULT,Global,1
DAT_1fc007fc,0x1FC007FC,Label,DEFAULT,Global,1
DAT_22222222,0x22222222,Label,DEFAULT,Global,1
DAT_342e3466,0x342E3466,Label,DEFAULT,Global,1
